RabA,RabB,RabC,RabD,RabE,area,memERGIC,memGolgiMedial,memL,memLS,memS,memTGN,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
15393.8,61575.22,1600327.3,61575.22,15393.8,1754265.34,236.65,5860.27,0.0,0.0,1607.84,1607.84,0.06,0.0,192.51,0.0,37781.68,1.0,1.712089456E7,
1807044.09,184725.65,15393.8,15393.8,15393.8,2037951.15,7158.43,172.91,8033.0,8033.0,3010.4,3010.4,0.06,1.0,407.96,196257.0,80065.2,0.0,1.970939069E7,
15393.8,15393.8,1554145.89,15393.8,15393.8,1615721.1,236.65,5803.35,0.0,0.0,1550.88,1550.88,0.01,0.0,186.4,0.0,36582.81,1.0,1.590863249E7,
1827935.69,153938.04,15393.8,15393.8,15393.8,2028055.14,7158.43,172.91,8033.0,8033.0,2987.72,2987.72,0.04,1.0,405.18,196257.0,79519.52,0.0,1.962871543E7,
15393.8,15393.8,1477176.87,15393.8,15393.8,1538752.08,236.65,5684.87,0.0,0.0,1520.46,1520.46,0.0,0.0,183.16,0.0,35947.19,1.0,1.523515357E7,
1821338.34,153938.04,15393.8,15393.8,15393.8,2021457.79,7158.43,172.91,8033.0,8033.0,2965.04,2965.04,0.02,1.0,402.4,196257.0,78973.85,0.0,1.951425885E7,
15393.8,15393.8,1492570.67,30787.61,15393.8,1569539.69,236.65,5625.62,0.0,0.0,1504.76,1504.76,0.24,0.0,181.56,0.0,35632.88,1.0,1.550454514E7,
1811442.32,123150.43,15393.8,15393.8,15393.8,1980774.17,7098.11,172.91,8033.0,8033.0,2920.0,2920.0,0.01,1.0,396.86,196257.0,77887.45,0.0,1.918071842E7,
15393.8,15393.8,1461783.06,15393.8,15393.8,1523358.28,236.65,5625.62,0.0,0.0,1504.76,1504.76,0.24,0.0,181.56,0.0,35632.88,1.0,1.510045778E7,
1798247.64,123150.43,15393.8,15393.8,15393.8,1967579.48,6921.36,172.91,8033.0,8033.0,2853.37,2853.37,0.0,1.0,388.66,196257.0,76277.07,0.0,1.905108925E7,
15393.8,123150.43,1600327.3,76969.02,15393.8,1831234.36,236.65,5764.48,0.0,0.0,1662.6,1662.6,0.43,0.0,199.62,0.0,39177.17,1.0,1.779437348E7,
